logg_cms2 Teff Z_sun xi aLSM bLSM aPCM bPCM chi2 Mod 
1.5 4750 -5 2 0.268 0.2963 0.3033 0.2499 0.1142 A 
2 4750 -5 2 0.2338 0.3248 0.2729 0.2734 0.125 A 
2.5 4750 -5 2 0.2069 0.3456 0.2483 0.2913 0.133 A 
3 4750 -5 2 0.1854 0.3589 0.2292 0.3013 0.146 A 
3.5 4750 -5 2 0.1689 0.3631 0.2123 0.3064 0.151 A 
4 4750 -5 2 0.1062 0.3961 0.1594 0.3266 0.203 A 
4.5 4750 -5 2 0.051 0.4097 0.1093 0.3343 0.2458 A 
0 5000 -5 2 0.3366 0.2368 0.3625 0.203 0.0885 A 
0.5 5000 -5 2 0.3212 0.2459 0.3489 0.2097 0.0936 A 
1 5000 -5 2 0.2991 0.2623 0.3294 0.2227 0.101 A 
1.5 5000 -5 2 0.2741 0.2824 0.3072 0.2392 0.108 A 
2 5000 -5 2 0.247 0.3059 0.2829 0.2588 0.1146 A 
2.5 5000 -5 2 0.2229 0.3268 0.2605 0.2773 0.1181 A 
3 5000 -5 2 0.2026 0.3425 0.2421 0.2906 0.1254 A 
3.5 5000 -5 2 0.1914 0.3489 0.231 0.2969 0.129 A 
4 5000 -5 2 0.1722 0.3557 0.2124 0.3031 0.1373 A 
4.5 5000 -5 2 0.1276 0.378 0.1741 0.3174 0.1729 A 
5 5000 -5 2 0.0953 0.3795 0.142 0.3191 0.1848 A 
0 5250 -5 2 0.3159 0.2463 0.343 0.2109 0.0946 A 
0.5 5250 -5 2 0.3091 0.2481 0.3368 0.212 0.095 A 
1 5250 -5 2 0.2947 0.2581 0.324 0.2198 0.0984 A 
1.5 5250 -5 2 0.2753 0.2739 0.3065 0.2329 0.1021 A 
2 5250 -5 2 0.2547 0.2923 0.2878 0.2488 0.1049 A 
2.5 5250 -5 2 0.2358 0.309 0.2702 0.2639 0.1068 A 
3 5250 -5 2 0.2187 0.3238 0.2538 0.2776 0.1086 A 
3.5 5250 -5 2 0.201 0.3366 0.2381 0.2878 0.1169 A 
4 5250 -5 2 0.1939 0.34 0.231 0.2913 0.12 A 
4.5 5250 -5 2 0.1644 0.3556 0.2053 0.302 0.141 A 
5 5250 -5 2 0.1158 0.3811 0.1645 0.3175 0.1805 A 
0 5500 -5 2 0.2895 0.2627 0.3184 0.2251 0.0999 A 
0.5 5500 -5 2 0.2884 0.2589 0.3175 0.2211 0.1002 A 
1 5500 -5 2 0.2826 0.2615 0.3121 0.223 0.0993 A 
1.5 5500 -5 2 0.271 0.2703 0.3015 0.2304 0.0997 A 
2 5500 -5 2 0.2569 0.2831 0.2881 0.2423 0.0983 A 
2.5 5500 -5 2 0.2414 0.2974 0.2733 0.2555 0.0981 A 
3 5500 -5 2 0.2272 0.3098 0.2595 0.2673 0.0981 A 
3.5 5500 -5 2 0.2155 0.3197 0.2483 0.2766 0.0996 A 
4 5500 -5 2 0.1998 0.33 0.2349 0.284 0.1089 A 
4.5 5500 -5 2 0.1792 0.3416 0.2177 0.2911 0.1262 A 
5 5500 -5 2 0.1506 0.3584 0.1931 0.3026 0.1471 A 
0 5750 -5 2 0.4051 0.16 0.419 0.1423 0.0592 A 
0.5 5750 -5 2 0.2704 0.2726 0.2985 0.236 0.0926 A 
1 5750 -5 2 0.2633 0.2719 0.2939 0.2318 0.1027 A 
1.5 5750 -5 2 0.2596 0.274 0.2902 0.234 0.0994 A 
2 5750 -5 2 0.2517 0.281 0.2823 0.2408 0.0964 A 
2.5 5750 -5 2 0.2418 0.2901 0.2721 0.2502 0.0931 A 
3 5750 -5 2 0.2324 0.2986 0.2626 0.2589 0.0906 A 
3.5 5750 -5 2 0.2215 0.3078 0.2518 0.2679 0.0902 A 
4 5750 -5 2 0.2111 0.3157 0.2422 0.2747 0.0936 A 
4.5 5750 -5 2 0.1938 0.3273 0.2279 0.2824 0.1058 A 
5 5750 -5 2 0.171 0.3418 0.2088 0.292 0.1228 A 
0 6000 -5 2 0.3909 0.1713 0.4047 0.1537 0.0608 A 
0.5 6000 -5 2 0.3958 0.1585 0.4081 0.1429 0.0537 A 
1 6000 -5 2 0.2728 0.259 0.2996 0.2241 0.0911 A 
1.5 6000 -5 2 0.2446 0.2813 0.2752 0.2412 0.0992 A 
2 6000 -5 2 0.2414 0.2834 0.2718 0.2435 0.0957 A 
2.5 6000 -5 2 0.2377 0.2866 0.2673 0.2477 0.0903 A 
3 6000 -5 2 0.2322 0.2914 0.2611 0.2534 0.0863 A 
3.5 6000 -5 2 0.224 0.2988 0.2526 0.2611 0.084 A 
4 6000 -5 2 0.2194 0.3026 0.2475 0.2656 0.0824 A 
4.5 6000 -5 2 0.2074 0.3108 0.2373 0.2715 0.0895 A 
5 6000 -5 2 0.1877 0.3249 0.2208 0.2813 0.1022 A 
0.5 6250 -5 2 0.3787 0.1729 0.3913 0.1569 0.056 A 
1 6250 -5 2 0.3844 0.1598 0.3955 0.1457 0.0486 A 
1.5 6250 -5 2 0.251 0.2704 0.2785 0.2344 0.09 A 
2 6250 -5 2 0.2305 0.2869 0.2599 0.2482 0.092 A 
2.5 6250 -5 2 0.2302 0.2865 0.2591 0.2486 0.0875 A 
3 6250 -5 2 0.2281 0.2882 0.256 0.2515 0.0828 A 
3.5 6250 -5 2 0.2246 0.2915 0.2516 0.2559 0.0786 A 
4 6250 -5 2 0.2196 0.2957 0.2464 0.2604 0.0778 A 
4.5 6250 -5 2 0.2084 0.3041 0.2368 0.2668 0.0837 A 
5 6250 -5 2 0.1989 0.3106 0.2284 0.2719 0.0883 A 
0.5 6500 -5 2 0.3571 0.1934 0.3716 0.1749 0.062 A 
1 6500 -5 2 0.3643 0.1766 0.3763 0.1615 0.0522 A 
1.5 6500 -5 2 0.3697 0.1637 0.38 0.1507 0.0445 A 
2 6500 -5 2 0.2297 0.2801 0.258 0.243 0.0902 A 
2.5 6500 -5 2 0.2141 0.2929 0.2434 0.2545 0.0893 A 
3 6500 -5 2 0.2184 0.2889 0.2463 0.2522 0.083 A 
3.5 6500 -5 2 0.2189 0.2892 0.2456 0.254 0.0775 A 
4 6500 -5 2 0.2177 0.2904 0.2437 0.2562 0.0747 A 
4.5 6500 -5 2 0.213 0.294 0.2391 0.2597 0.0754 A 
5 6500 -5 2 0.2023 0.302 0.2299 0.2656 0.0815 A 
0.5 6750 -5 2 0.3333 0.2185 0.3506 0.1963 0.0699 A 
1 6750 -5 2 0.3387 0.1995 0.3532 0.181 0.0602 A 
1.5 6750 -5 2 0.3472 0.1821 0.3588 0.1673 0.0492 A 
2 6750 -5 2 0.3545 0.1676 0.3641 0.1553 0.0408 A 
2.5 6750 -5 2 0.211 0.2878 0.2399 0.2499 0.0904 A 
3 6750 -5 2 0.2033 0.2953 0.2317 0.258 0.0848 A 
3.5 6750 -5 2 0.2085 0.2912 0.2354 0.2557 0.0787 A 
4 6750 -5 2 0.2105 0.2898 0.2363 0.2559 0.0746 A 
4.5 6750 -5 2 0.2103 0.29 0.2356 0.2567 0.073 A 
5 6750 -5 2 0.2049 0.2941 0.2308 0.26 0.0751 A 
0.5 7000 -5 2 0.3081 0.246 0.3286 0.2197 0.0787 A 
1 7000 -5 2 0.3112 0.2255 0.3292 0.2026 0.0709 A 
1.5 7000 -5 2 0.32 0.2046 0.3347 0.1859 0.059 A 
2 7000 -5 2 0.3306 0.1865 0.342 0.1719 0.0468 A 
2.5 7000 -5 2 0.3387 0.1727 0.348 0.1609 0.0378 A 
3 7000 -5 2 0.1969 0.2933 0.2255 0.2557 0.0876 A 
3.5 7000 -5 2 0.1951 0.2959 0.2225 0.2598 0.0815 A 
4 7000 -5 2 0.1999 0.2924 0.2261 0.2578 0.0766 A 
4.5 7000 -5 2 0.2033 0.2898 0.2286 0.2564 0.0733 A 
5 7000 -5 2 0.2008 0.2918 0.2262 0.2584 0.0735 A 
1 7250 -5 2 0.2829 0.2527 0.3045 0.225 0.0832 A 
1.5 7250 -5 2 0.2906 0.2298 0.309 0.2062 0.0718 A 
2 7250 -5 2 0.3012 0.2093 0.3162 0.1901 0.0582 A 
2.5 7250 -5 2 0.3144 0.1912 0.3258 0.1766 0.0453 A 
3 7250 -5 2 0.3228 0.1786 0.332 0.1669 0.0367 A 
3.5 7250 -5 2 0.1836 0.2982 0.2122 0.2607 0.0871 A 
4 7250 -5 2 0.1862 0.2972 0.2135 0.2613 0.0812 A 
4.5 7250 -5 2 0.1928 0.2925 0.2187 0.2584 0.0761 A 
5 7250 -5 2 0.1934 0.2922 0.2189 0.2587 0.0742 A 
1 7500 -5 2 0.2573 0.2754 0.2825 0.2429 0.0962 A 
1.5 7500 -5 2 0.2617 0.2543 0.2839 0.2259 0.0855 A 
2 7500 -5 2 0.2717 0.232 0.2906 0.2078 0.0721 A 
2.5 7500 -5 2 0.2843 0.2127 0.2995 0.1933 0.0578 A 
3 7500 -5 2 0.2983 0.1965 0.31 0.1814 0.0455 A 
3.5 7500 -5 2 0.3067 0.1858 0.3163 0.1735 0.0372 A 
4 7500 -5 2 0.1813 0.2964 0.2079 0.2615 0.0796 A 
4.5 7500 -5 2 0.181 0.2964 0.2078 0.2613 0.0794 A 
5 7500 -5 2 0.1828 0.2954 0.209 0.2609 0.0773 A 
1.5 7750 -5 2 0.2357 0.2743 0.2615 0.2413 0.0994 A 
2 7750 -5 2 0.2438 0.2529 0.2662 0.2241 0.0859 A 
2.5 7750 -5 2 0.2547 0.2329 0.2737 0.2085 0.072 A 
3 7750 -5 2 0.2693 0.2155 0.2848 0.1955 0.0584 A 
3.5 7750 -5 2 0.2829 0.2023 0.2951 0.1866 0.0465 A 
4 7750 -5 2 0.2903 0.1941 0.3005 0.181 0.0386 A 
4.5 7750 -5 2 0.1687 0.3006 0.1963 0.2644 0.0837 A 
5 7750 -5 2 0.1712 0.2992 0.1982 0.2637 0.0811 A 
1.5 8000 -5 2 0.2153 0.288 0.244 0.2512 0.1115 A 
2 8000 -5 2 0.2196 0.2689 0.2452 0.236 0.0991 A 
2.5 8000 -5 2 0.2294 0.2496 0.2516 0.221 0.0849 A 
3 8000 -5 2 0.2409 0.2325 0.2601 0.2078 0.0719 A 
3.5 8000 -5 2 0.2561 0.2179 0.2719 0.1975 0.0592 A 
4 8000 -5 2 0.2679 0.2087 0.2806 0.1923 0.0478 A 
4.5 8000 -5 2 0.2739 0.2026 0.2846 0.1888 0.0404 A 
5 8000 -5 2 0.1578 0.3039 0.1861 0.2669 0.0866 A 
2 8250 -5 2 0.2014 0.2786 0.2293 0.2427 0.11 A 
2.5 8250 -5 2 0.208 0.2614 0.2329 0.2295 0.0964 A 
3 8250 -5 2 0.218 0.2454 0.24 0.2171 0.0835 A 
3.5 8250 -5 2 0.2291 0.2318 0.2484 0.207 0.0723 A 
4 8250 -5 2 0.2435 0.2217 0.2595 0.2012 0.06 A 
4.5 8250 -5 2 0.2535 0.2145 0.2668 0.1974 0.0499 A 
5 8250 -5 2 0.1514 0.3036 0.1794 0.267 0.0873 A 
1.5 8500 -5 2 0.1935 0.2984 0.2252 0.2578 0.1258 A 
2 8500 -5 2 0.1877 0.2838 0.2172 0.2461 0.1176 A 
2.5 8500 -5 2 0.1919 0.2674 0.2187 0.2331 0.1055 A 
3 8500 -5 2 0.1991 0.254 0.2232 0.223 0.0932 A 
3.5 8500 -5 2 0.209 0.2414 0.2309 0.2132 0.0826 A 
4 8500 -5 2 0.2197 0.2311 0.239 0.2063 0.0727 A 
4.5 8500 -5 2 0.233 0.2242 0.2492 0.2034 0.061 A 
5 8500 -5 2 0.2379 0.2221 0.2516 0.2045 0.0518 A 
2 8750 -5 2 0.1788 0.2858 0.209 0.2472 0.1225 A 
2.5 8750 -5 2 0.18 0.2703 0.2078 0.2347 0.1113 A 
3 8750 -5 2 0.1853 0.2576 0.2109 0.2248 0.1002 A 
3.5 8750 -5 2 0.1923 0.2477 0.2158 0.2175 0.0905 A 
4 8750 -5 2 0.2004 0.2389 0.2222 0.2109 0.0822 A 
4.5 8750 -5 2 0.2104 0.2323 0.2296 0.2075 0.0729 A 
5 8750 -5 2 0.22 0.2295 0.2362 0.2086 0.0621 A 
1.5 9000 -5 2 0.1868 0.3 0.2187 0.2591 0.1295 A 
2 9000 -5 2 0.1726 0.2867 0.2034 0.2474 0.1257 A 
2.5 9000 -5 2 0.1713 0.2712 0.1996 0.2349 0.1149 A 
3 9000 -5 2 0.1748 0.2587 0.201 0.2251 0.1043 A 
3.5 9000 -5 2 0.1799 0.2499 0.2044 0.2185 0.096 A 
4 9000 -5 2 0.1858 0.2434 0.209 0.2136 0.0892 A 
4.5 9000 -5 2 0.1928 0.2364 0.2147 0.2083 0.0831 A 
5 9000 -5 2 0.1999 0.2294 0.2203 0.2032 0.0775 A 
2 9250 -5 2 0.1679 0.2874 0.1989 0.2478 0.1278 A 
2.5 9250 -5 2 0.1643 0.2719 0.1931 0.2351 0.1176 A 
3 9250 -5 2 0.1666 0.259 0.1933 0.2248 0.1072 A 
3.5 9250 -5 2 0.1705 0.2505 0.1956 0.2182 0.0994 A 
4 9250 -5 2 0.1746 0.2452 0.1987 0.2143 0.0939 A 
4.5 9250 -5 2 0.1797 0.2404 0.2028 0.2107 0.0888 A 
5 9250 -5 2 0.1854 0.2346 0.2073 0.2065 0.0841 A 
2 9500 -5 2 0.164 0.2884 0.1952 0.2485 0.1292 A 
2.5 9500 -5 2 0.1593 0.2717 0.1883 0.2347 0.1195 A 
3 9500 -5 2 0.1605 0.2586 0.1876 0.224 0.1092 A 
3.5 9500 -5 2 0.1638 0.2496 0.1894 0.2168 0.1016 A 
4 9500 -5 2 0.1661 0.2454 0.1906 0.2139 0.0965 A 
4.5 9500 -5 2 0.1692 0.2422 0.193 0.2117 0.093 A 
