logg_cms2 Teff Z_sun xi aLSM bLSM aPCM bPCM chi2 Mod 
0.5 5000 -2 2 0.3261 0.2409 0.3543 0.2042 0.0987 A 
1 5000 -2 2 0.3086 0.2533 0.3382 0.2148 0.1019 A 
1.5 5000 -2 2 0.2883 0.2706 0.3196 0.2298 0.1039 A 
2 5000 -2 2 0.2691 0.2882 0.3015 0.246 0.1034 A 
2.5 5000 -2 2 0.2566 0.3008 0.2887 0.2589 0.1008 A 
3 5000 -2 2 0.2484 0.3096 0.2801 0.2684 0.0985 A 
3.5 5000 -2 2 0.2406 0.3176 0.2722 0.2763 0.0996 A 
4 5000 -2 2 0.228 0.3291 0.2609 0.2862 0.1041 A 
4.5 5000 -2 2 0.2083 0.3398 0.2427 0.295 0.1136 A 
5 5000 -2 2 0.1785 0.3551 0.216 0.3065 0.1303 A 
0 5250 -2 2 0.3163 0.2448 0.3446 0.2081 0.1019 A 
0.5 5250 -2 2 0.3103 0.2458 0.3393 0.2082 0.1031 A 
1 5250 -2 2 0.298 0.2538 0.3279 0.2149 0.104 A 
1.5 5250 -2 2 0.2824 0.2663 0.3133 0.226 0.1037 A 
2 5250 -2 2 0.2658 0.2802 0.2975 0.2389 0.1031 A 
2.5 5250 -2 2 0.2517 0.2929 0.2835 0.2513 0.1007 A 
3 5250 -2 2 0.2407 0.3025 0.2723 0.2613 0.0984 A 
3.5 5250 -2 2 0.2318 0.3097 0.2636 0.2683 0.099 A 
4 5250 -2 2 0.2197 0.3187 0.2526 0.2759 0.1045 A 
4.5 5250 -2 2 0.2121 0.3256 0.2446 0.2833 0.1044 A 
5 5250 -2 2 0.1793 0.3452 0.2162 0.2972 0.1238 A 
0 5500 -2 2 0.288 0.2627 0.3182 0.2236 0.1081 A 
0.5 5500 -2 2 0.2891 0.257 0.3193 0.2178 0.108 A 
1 5500 -2 2 0.2835 0.26 0.3137 0.2207 0.1052 A 
1.5 5500 -2 2 0.2737 0.2666 0.3045 0.2265 0.1043 A 
2 5500 -2 2 0.2618 0.276 0.2931 0.2353 0.1023 A 
2.5 5500 -2 2 0.2495 0.2868 0.2807 0.246 0.0993 A 
3 5500 -2 2 0.2404 0.2948 0.271 0.2549 0.0949 A 
3.5 5500 -2 2 0.2285 0.3054 0.2591 0.2654 0.0939 A 
4 5500 -2 2 0.2177 0.3128 0.2495 0.2713 0.0985 A 
4.5 5500 -2 2 0.2022 0.3225 0.236 0.2784 0.1077 A 
5 5500 -2 2 0.1815 0.3353 0.2181 0.2876 0.121 A 
0 5750 -2 2 0.3509 0.2016 0.3749 0.1708 0.0936 A 
0.5 5750 -2 2 0.2776 0.2599 0.3078 0.2209 0.1087 A 
1 5750 -2 2 0.264 0.2708 0.2953 0.23 0.1086 A 
1.5 5750 -2 2 0.262 0.2705 0.2932 0.23 0.105 A 
2 5750 -2 2 0.2542 0.2762 0.2855 0.2354 0.1026 A 
2.5 5750 -2 2 0.2469 0.2823 0.2775 0.2424 0.0973 A 
3 5750 -2 2 0.2377 0.2915 0.2678 0.2522 0.0922 A 
3.5 5750 -2 2 0.2279 0.2993 0.2577 0.2603 0.0905 A 
4 5750 -2 2 0.2261 0.2985 0.255 0.2609 0.0886 A 
4.5 5750 -2 2 0.2079 0.3122 0.2396 0.2707 0.0987 A 
5 5750 -2 2 0.1898 0.3234 0.2239 0.2787 0.1099 A 
0 6000 -2 2 0.3661 0.1913 0.385 0.1671 0.0783 A 
0.5 6000 -2 2 0.343 0.1982 0.3658 0.1689 0.0915 A 
1 6000 -2 2 0.2559 0.2694 0.2874 0.2285 0.1116 A 
1.5 6000 -2 2 0.244 0.2809 0.2757 0.2396 0.1063 A 
2 6000 -2 2 0.2423 0.2808 0.2735 0.2402 0.1021 A 
2.5 6000 -2 2 0.2385 0.2832 0.2689 0.2435 0.0973 A 
3 6000 -2 2 0.2368 0.2846 0.2656 0.247 0.0895 A 
3.5 6000 -2 2 0.233 0.2873 0.261 0.2506 0.0855 A 
4 6000 -2 2 0.2236 0.2954 0.2519 0.2585 0.085 A 
4.5 6000 -2 2 0.2178 0.2976 0.2463 0.2603 0.0876 A 
5 6000 -2 2 0.197 0.3131 0.2287 0.2716 0.0994 A 
0.5 6250 -2 2 0.3502 0.1963 0.3689 0.1724 0.0766 A 
1 6250 -2 2 0.317 0.2133 0.341 0.1824 0.0918 A 
1.5 6250 -2 2 0.2382 0.2773 0.2704 0.2354 0.1112 A 
2 6250 -2 2 0.227 0.2881 0.2584 0.2472 0.1027 A 
2.5 6250 -2 2 0.2294 0.2849 0.2596 0.2455 0.0961 A 
3 6250 -2 2 0.2285 0.2851 0.2574 0.2474 0.0899 A 
3.5 6250 -2 2 0.2267 0.2874 0.2545 0.2512 0.083 A 
4 6250 -2 2 0.223 0.2897 0.2501 0.2543 0.0807 A 
4.5 6250 -2 2 0.2176 0.2931 0.2448 0.2575 0.0816 A 
5 6250 -2 2 0.2036 0.3026 0.2327 0.2646 0.0893 A 
0.5 6500 -2 2 0.3475 0.2031 0.3642 0.1819 0.0691 A 
1 6500 -2 2 0.3325 0.2038 0.351 0.1802 0.074 A 
1.5 6500 -2 2 0.3024 0.2147 0.3267 0.1834 0.0949 A 
2 6500 -2 2 0.215 0.2869 0.2493 0.2422 0.1164 A 
2.5 6500 -2 2 0.2113 0.2942 0.2424 0.2536 0.0993 A 
3 6500 -2 2 0.2159 0.2895 0.2454 0.2511 0.0918 A 
3.5 6500 -2 2 0.2202 0.2855 0.2479 0.2493 0.0846 A 
4 6500 -2 2 0.2206 0.2842 0.2473 0.2493 0.0805 A 
4.5 6500 -2 2 0.2172 0.2875 0.2433 0.2534 0.0774 A 
5 6500 -2 2 0.2083 0.2934 0.2353 0.2581 0.0814 A 
0.5 6750 -2 2 0.3304 0.2213 0.3489 0.1976 0.0747 A 
1 6750 -2 2 0.3282 0.2107 0.3451 0.1893 0.0682 A 
1.5 6750 -2 2 0.3123 0.2126 0.3313 0.1883 0.0725 A 
2 6750 -2 2 0.2693 0.2361 0.2956 0.202 0.0962 A 
2.5 6750 -2 2 0.1995 0.2941 0.2331 0.2503 0.1109 A 
3 6750 -2 2 0.2008 0.2977 0.2305 0.2589 0.092 A 
3.5 6750 -2 2 0.2076 0.2902 0.2356 0.2535 0.0864 A 
4 6750 -2 2 0.2115 0.2862 0.2382 0.2512 0.0811 A 
4.5 6750 -2 2 0.2132 0.2838 0.2389 0.2502 0.0774 A 
5 6750 -2 2 0.2073 0.2888 0.2333 0.2549 0.0773 A 
0.5 7000 -2 2 0.3067 0.2465 0.3283 0.2189 0.0823 A 
1 7000 -2 2 0.3082 0.2292 0.3275 0.2046 0.0764 A 
1.5 7000 -2 2 0.3081 0.2178 0.3252 0.196 0.0674 A 
2 7000 -2 2 0.29 0.2219 0.3096 0.1967 0.0728 A 
2.5 7000 -2 2 0.2466 0.2469 0.2738 0.2117 0.0955 A 
3 7000 -2 2 0.1866 0.301 0.2185 0.2594 0.1015 A 
3.5 7000 -2 2 0.193 0.2975 0.2217 0.2599 0.0883 A 
4 7000 -2 2 0.1973 0.2933 0.2248 0.2573 0.0831 A 
4.5 7000 -2 2 0.204 0.2872 0.2298 0.2534 0.077 A 
5 7000 -2 2 0.2032 0.2868 0.2287 0.2536 0.0754 A 
0.5 7250 -2 2 0.2814 0.2721 0.3051 0.2416 0.0904 A 
1 7250 -2 2 0.2786 0.2568 0.3004 0.2289 0.0863 A 
1.5 7250 -2 2 0.284 0.2375 0.3031 0.2131 0.077 A 
2 7250 -2 2 0.2861 0.2259 0.3028 0.2046 0.0664 A 
2.5 7250 -2 2 0.2646 0.2345 0.2847 0.2087 0.0738 A 
3 7250 -2 2 0.2135 0.2685 0.242 0.2315 0.099 A 
3.5 7250 -2 2 0.1731 0.3063 0.2036 0.2665 0.099 A 
4 7250 -2 2 0.1817 0.3009 0.2093 0.2648 0.0864 A 
4.5 7250 -2 2 0.1894 0.2944 0.2153 0.2605 0.0796 A 
5 7250 -2 2 0.1928 0.2909 0.2176 0.2584 0.0755 A 
0.5 7500 -2 2 0.2676 0.2858 0.294 0.2517 0.0984 A 
1 7500 -2 2 0.2546 0.2773 0.2798 0.245 0.098 A 
1.5 7500 -2 2 0.2576 0.2588 0.2801 0.2299 0.0892 A 
2 7500 -2 2 0.2656 0.2395 0.2852 0.2144 0.0779 A 
2.5 7500 -2 2 0.2679 0.2302 0.2851 0.2082 0.0667 A 
3 7500 -2 2 0.2407 0.2458 0.2625 0.2177 0.0775 A 
3.5 7500 -2 2 0.1837 0.29 0.2132 0.2515 0.0982 A 
4 7500 -2 2 0.1693 0.3046 0.1981 0.2669 0.0922 A 
4.5 7500 -2 2 0.1764 0.2993 0.2034 0.264 0.0841 A 
5 7500 -2 2 0.1812 0.2951 0.207 0.2614 0.0791 A 
1 7750 -2 2 0.2366 0.2915 0.2646 0.2555 0.1083 A 
1.5 7750 -2 2 0.2336 0.2764 0.2593 0.2435 0.1014 A 
2 7750 -2 2 0.2402 0.2572 0.263 0.228 0.09 A 
2.5 7750 -2 2 0.2487 0.2401 0.2686 0.2145 0.0781 A 
3 7750 -2 2 0.2483 0.2364 0.2664 0.2131 0.0684 A 
3.5 7750 -2 2 0.2133 0.2609 0.2373 0.2299 0.0834 A 
4 7750 -2 2 0.1611 0.3034 0.1915 0.2639 0.1005 A 
4.5 7750 -2 2 0.1658 0.3016 0.1933 0.2656 0.088 A 
5 7750 -2 2 0.1701 0.2979 0.1967 0.2631 0.0837 A 
1 8000 -2 2 0.2253 0.2998 0.2551 0.2614 0.1159 A 
1.5 8000 -2 2 0.214 0.2894 0.2424 0.253 0.1124 A 
2 8000 -2 2 0.2177 0.2715 0.2433 0.2387 0.1014 A 
2.5 8000 -2 2 0.2254 0.2544 0.2481 0.2253 0.0892 A 
3 8000 -2 2 0.235 0.2391 0.255 0.2134 0.0778 A 
3.5 8000 -2 2 0.2295 0.2429 0.2486 0.2183 0.0702 A 
4 8000 -2 2 0.1847 0.2783 0.2109 0.2443 0.0886 A 
4.5 8000 -2 2 0.1486 0.3067 0.179 0.2671 0.1011 A 
5 8000 -2 2 0.1568 0.3029 0.1847 0.2665 0.0888 A 
1.5 8250 -2 2 0.2012 0.2966 0.2314 0.2578 0.1207 A 
2 8250 -2 2 0.199 0.2819 0.2269 0.2461 0.1116 A 
2.5 8250 -2 2 0.2044 0.266 0.2294 0.234 0.0993 A 
3 8250 -2 2 0.2135 0.2505 0.236 0.2217 0.0879 A 
3.5 8250 -2 2 0.2227 0.2382 0.2428 0.2125 0.0776 A 
4 8250 -2 2 0.2097 0.2519 0.2299 0.2258 0.0728 A 
4.5 8250 -2 2 0.1598 0.2936 0.1874 0.2576 0.0926 A 
5 8250 -2 2 0.1386 0.309 0.1692 0.2691 0.1024 A 
1.5 8500 -2 2 0.193 0.2999 0.224 0.2602 0.1257 A 
2 8500 -2 2 0.1862 0.2867 0.2156 0.2491 0.1192 A 
2.5 8500 -2 2 0.1889 0.2718 0.216 0.2372 0.1082 A 
3 8500 -2 2 0.1957 0.2584 0.2203 0.2269 0.0967 A 
3.5 8500 -2 2 0.2039 0.2467 0.2262 0.2182 0.0865 A 
4 8500 -2 2 0.2118 0.2384 0.2318 0.2128 0.0772 A 
4.5 8500 -2 2 0.1858 0.265 0.2082 0.2361 0.0783 A 
5 8500 -2 2 0.1438 0.3012 0.1721 0.2644 0.0945 A 
2 8750 -2 2 0.1777 0.2883 0.2077 0.2499 0.1237 A 
2.5 8750 -2 2 0.1776 0.274 0.2056 0.2382 0.1138 A 
3 8750 -2 2 0.1817 0.2624 0.2074 0.2295 0.1033 A 
3.5 8750 -2 2 0.1885 0.2521 0.2124 0.2214 0.094 A 
4 8750 -2 2 0.1956 0.2434 0.2175 0.2152 0.0856 A 
4.5 8750 -2 2 0.1985 0.2426 0.2186 0.2169 0.0772 A 
5 8750 -2 2 0.1618 0.2796 0.1861 0.2481 0.0839 A 
2 9000 -2 2 0.1748 0.2861 0.2061 0.2461 0.127 A 
2.5 9000 -2 2 0.1717 0.2719 0.2007 0.2349 0.1174 A 
3 9000 -2 2 0.1746 0.2597 0.2018 0.2249 0.108 A 
3.5 9000 -2 2 0.1789 0.2515 0.2045 0.2187 0.0998 A 
4 9000 -2 2 0.1843 0.2447 0.2084 0.2137 0.0927 A 
4.5 9000 -2 2 0.1909 0.2374 0.2134 0.2085 0.0863 A 
5 9000 -2 2 0.1972 0.2306 0.2183 0.2035 0.0809 A 
2 9250 -2 2 0.1698 0.2873 0.2013 0.247 0.1288 A 
2.5 9250 -2 2 0.1659 0.2713 0.1954 0.2336 0.1197 A 
3 9250 -2 2 0.1667 0.2593 0.194 0.2242 0.11 A 
3.5 9250 -2 2 0.1699 0.251 0.1959 0.2176 0.1026 A 
4 9250 -2 2 0.1734 0.2461 0.1983 0.2141 0.0969 A 
4.5 9250 -2 2 0.1784 0.2409 0.2022 0.2104 0.0917 A 
5 9250 -2 2 0.1837 0.235 0.2063 0.206 0.0868 A 
2 9500 -2 2 0.1654 0.2889 0.1971 0.2483 0.1304 A 
2.5 9500 -2 2 0.1608 0.2714 0.1904 0.2337 0.1212 A 
3 9500 -2 2 0.1609 0.2584 0.1885 0.2232 0.1114 A 
3.5 9500 -2 2 0.1632 0.2497 0.1894 0.2161 0.1041 A 
4 9500 -2 2 0.1657 0.245 0.191 0.2125 0.0991 A 
4.5 9500 -2 2 0.1683 0.2421 0.1928 0.2108 0.0953 A 
5 9500 -2 2 0.1724 0.2377 0.1961 0.2073 0.0917 A 
2 9750 -2 2 0.1616 0.2904 0.1936 0.2495 0.1319 A 
2.5 9750 -2 2 0.1561 0.272 0.1859 0.2339 0.1227 A 
3 9750 -2 2 0.156 0.2578 0.1837 0.2224 0.1124 A 
3.5 9750 -2 2 0.1575 0.2488 0.1837 0.2152 0.1048 A 
4 9750 -2 2 0.1591 0.2438 0.1845 0.2113 0.1003 A 
4.5 9750 -2 2 0.1605 0.2416 0.1854 0.2097 0.0976 A 
5 9750 -2 2 0.1629 0.2392 0.1872 0.2079 0.0952 A 
2 -2       A  
2.5 -2       A  
3 -2       A  
3.5 -2       A  
4 -2       A  
4.5 -2       A  
5 -2       A  
2 -2       A  
2.5 -2       A  
3 -2       A  
3.5 -2       A  
4 -2       A  
4.5 -2       A  
5 -2       A  
2.5 -2       A  
3 -2       A  
3.5 -2       A  
4 -2       A  
4.5 -2       A  
5 -2       A  
2.5 -2       A  
3 -2       A  
3.5 -2       A  
4 -2       A  
4.5 -2       A  
5 -2       A  
2.5 -2       A  
3 -2       A  
3.5 -2       A  
4 -2       A  
4.5 -2       A  
5 -2       A  
2.5 -2       A  
3 -2       A  
3.5 -2       A  
4 -2       A  
4.5 -2       A  
5 -2       A  
2.5 -2       A  
3 -2       A  
3.5 -2       A  
4 -2       A  
4.5 -2       A  
5 -2       A  
2 -2       A  
2.5 -2       A  
3 -2       A  
3.5 -2       A  
4 -2       A  
4.5 -2       A  
5 -2       A  
2.5 -2       A  
3 -2       A  
3.5 -2       A  
4 -2       A  
4.5 -2       A  
5 -2       A  
2.5 -2       A  
3 -2       A  
3.5 -2       A  
4 -2       A  
4.5 -2       A  
5 -2       A  
2.5 -2       A  
3 -2       A  
3.5 -2       A  
4 -2       A  
4.5 -2       A  
5 -2       A  
2.5 -2       A  
3 -2       A  
3.5 -2       A  
4 -2       A  
4.5 -2       A  
5 -2       A  
2.5 -2       A  
3 -2       A  
3.5 -2       A  
4 -2       A  
4.5 -2       A  
5 -2       A  
3 -2       A  
3.5 -2       A  
4 -2       A  
4.5 -2       A  
5 -2       A  
3 -2       A  
3.5 -2       A  
4 -2       A  
4.5 -2       A  
5 -2       A  
3 -2       A  
3.5 -2       A  
4 -2       A  
4.5 -2       A  
5 -2       A  
3 -2       A  
3.5 -2       A  
4 -2       A  
4.5 -2       A  
5 -2       A  
3 -2       A  
3.5 -2       A  
4 -2       A  
4.5 -2       A  
5 -2       A  
3 -2       A  
3.5 -2       A  
4 -2       A  
4.5 -2       A  
5 -2       A  
3 -2       A  
3.5 -2       A  
4 -2       A  
4.5 -2       A  
5 -2       A  
3.5 -2       A  
4 -2       A  
4.5 -2       A  
5 -2       A  
3.5 -2       A  
4 -2       A  
4.5 -2       A  
5 -2       A  
3.5 -2       A  
4 -2       A  
4.5 -2       A  
5 -2       A  
4 -2       A  
4.5 -2       A  
5 -2       A  
4 -2       A  
4.5 -2       A  
5 -2       A  
4 -2       A  
4.5 -2       A  
5 -2       A  
4.5 -2       A  
5 -2       A  
4.5 -2       A  
5 -2       A  
4.5 -2       A  
5 -2       A  
4.5 -2       A  
5 -2       A  
4.5 -2       A  
5 -2       A  
5 -2       A  
5 -2       A  
5 -2       A  
5 -2       A  
0 3500 -1.5 2 0.6638 0.0501 0.6782 0.0323 0.0853 A 
0.5 3500 -1.5 2 0.6607 0.0561 0.6745 0.0392 0.0848 A 
1 3500 -1.5 2 0.6537 0.0618 0.6678 0.0444 0.0869 A 
1.5 3500 -1.5 2 0.5787 0.1188 0.6028 0.0884 0.116 A 
2 3500 -1.5 2 0.3737 0.2844 0.4136 0.2333 0.1649 A 
2.5 3500 -1.5 2 0.2011 0.4215 0.2518 0.3564 0.2057 A 
3 3500 -1.5 2 0.1175 0.4788 0.176 0.4035 0.237 A 
3.5 3500 -1.5 2 0.0851 0.4958 0.1467 0.4166 0.2506 A 
4 3500 -1.5 2 0.0815 0.4915 0.1425 0.4131 0.2511 A 
4.5 3500 -1.5 2 0.0897 0.4895 0.1497 0.4123 0.2423 A 
5 3500 -1.5 2 0.1098 0.4748 0.1658 0.4028 0.2237 A 
0 3750 -1.5 2 0.6098 0.0804 0.6199 0.0682 0.0658 A 
0.5 3750 -1.5 2 0.6033 0.0883 0.6136 0.0757 0.0684 A 
1 3750 -1.5 2 0.5992 0.0929 0.6099 0.0799 0.0706 A 
1.5 3750 -1.5 2 0.5934 0.0995 0.6043 0.0863 0.0724 A 
2 3750 -1.5 2 0.5733 0.1137 0.5872 0.0964 0.0838 A 
2.5 3750 -1.5 2 0.4477 0.2053 0.4776 0.1673 0.1343 A 
3 3750 -1.5 2 0.2638 0.3378 0.3071 0.2825 0.1827 A 
3.5 3750 -1.5 2 0.1448 0.422 0.1975 0.3546 0.2204 A 
4 3750 -1.5 2 0.0982 0.4384 0.1527 0.3688 0.2323 A 
4.5 3750 -1.5 2 0.0618 0.4982 0.1255 0.416 0.2498 A 
5 3750 -1.5 2 0.0646 0.497 0.1272 0.416 0.2432 A 
0 4000 -1.5 2 0.5454 0.127 0.5552 0.1148 0.0515 A 
0.5 4000 -1.5 2 0.5401 0.1327 0.5496 0.121 0.0527 A 
1 4000 -1.5 2 0.5411 0.1315 0.5502 0.1202 0.0557 A 
1.5 4000 -1.5 2 0.5404 0.1313 0.5494 0.1204 0.0575 A 
2 4000 -1.5 2 0.5375 0.1329 0.5461 0.1224 0.0579 A 
2.5 4000 -1.5 2 0.531 0.1377 0.5397 0.1273 0.0577 A 
3 4000 -1.5 2 0.4759 0.1744 0.4931 0.1526 0.085 A 
3.5 4000 -1.5 2 0.3305 0.2793 0.3652 0.2347 0.1421 A 
4 4000 -1.5 2 0.1985 0.3641 0.2429 0.3072 0.1796 A 
4.5 4000 -1.5 2 0.1187 0.4157 0.1705 0.3492 0.2133 A 
5 4000 -1.5 2 0.0851 0.4341 0.1402 0.3634 0.2277 A 
0 4250 -1.5 2 0.4682 0.1814 0.4831 0.1623 0.0563 A 
0.5 4250 -1.5 2 0.4749 0.178 0.4875 0.1621 0.0538 A 
1 4250 -1.5 2 0.4674 0.1855 0.4799 0.1698 0.0546 A 
1.5 4250 -1.5 2 0.4637 0.1891 0.4749 0.175 0.0521 A 
2 4250 -1.5 2 0.4696 0.1821 0.4794 0.17 0.0504 A 
2.5 4250 -1.5 2 0.474 0.1764 0.4828 0.1656 0.049 A 
3 4250 -1.5 2 0.4735 0.1756 0.4819 0.1653 0.0476 A 
3.5 4250 -1.5 2 0.447 0.1955 0.459 0.1805 0.0563 A 
4 4250 -1.5 2 0.3525 0.2609 0.3785 0.2275 0.1035 A 
4.5 4250 -1.5 2 0.2323 0.3418 0.2721 0.2905 0.1557 A 
5 4250 -1.5 2 0.1444 0.3937 0.1922 0.3322 0.1915 A 
0 4500 -1.5 2 0.4045 0.215 0.4256 0.1877 0.0731 A 
0.5 4500 -1.5 2 0.3927 0.2287 0.4144 0.2007 0.0745 A 
1 4500 -1.5 2 0.3872 0.2366 0.4082 0.2096 0.0719 A 
1.5 4500 -1.5 2 0.3866 0.24 0.4054 0.2159 0.0652 A 
2 4500 -1.5 2 0.3932 0.2358 0.4091 0.2155 0.0578 A 
2.5 4500 -1.5 2 0.4016 0.2282 0.4152 0.2109 0.053 A 
3 4500 -1.5 2 0.4074 0.2227 0.4195 0.2074 0.05 A 
3.5 4500 -1.5 2 0.4074 0.2223 0.4191 0.2076 0.0481 A 
4 4500 -1.5 2 0.3896 0.2369 0.4034 0.2195 0.0529 A 
4.5 4500 -1.5 2 0.3296 0.2804 0.3527 0.2505 0.0839 A 
5 4500 -1.5 2 0.2411 0.3311 0.2754 0.2869 0.1307 A 
0 4750 -1.5 2 0.3667 0.2258 0.3913 0.194 0.0867 A 
0.5 4750 -1.5 2 0.3528 0.2385 0.3787 0.2049 0.0898 A 
1 4750 -1.5 2 0.3388 0.253 0.3655 0.2183 0.0905 A 
1.5 4750 -1.5 2 0.3305 0.2645 0.3563 0.231 0.0854 A 
2 4750 -1.5 2 0.3285 0.2702 0.3524 0.2393 0.078 A 
2.5 4750 -1.5 2 0.3387 0.2648 0.3588 0.2389 0.067 A 
3 4750 -1.5 2 0.344 0.2622 0.362 0.2391 0.0612 A 
3.5 4750 -1.5 2 0.3471 0.2607 0.3642 0.2388 0.0587 A 
4 4750 -1.5 2 0.3407 0.2677 0.3581 0.2454 0.0586 A 
4.5 4750 -1.5 2 0.3261 0.2819 0.3442 0.2585 0.0593 A 
5 4750 -1.5 2 0.2826 0.3089 0.3077 0.2764 0.0867 A 
0 5000 -1.5 2 0.3412 0.2342 0.3676 0.1999 0.0955 A 
0.5 5000 -1.5 2 0.3289 0.2422 0.3565 0.2064 0.0989 A 
1 5000 -1.5 2 0.3149 0.2532 0.344 0.2154 0.1015 A 
1.5 5000 -1.5 2 0.3006 0.2672 0.3301 0.229 0.0996 A 
2 5000 -1.5 2 0.2917 0.2783 0.3205 0.2409 0.0944 A 
2.5 5000 -1.5 2 0.2865 0.2868 0.314 0.2513 0.0878 A 
3 5000 -1.5 2 0.2898 0.2884 0.3144 0.2566 0.0782 A 
3.5 5000 -1.5 2 0.2883 0.292 0.3123 0.2609 0.0768 A 
4 5000 -1.5 2 0.2933 0.2904 0.3155 0.2617 0.0719 A 
4.5 5000 -1.5 2 0.2779 0.305 0.3024 0.2734 0.0778 A 
5 5000 -1.5 2 0.2631 0.3193 0.2883 0.2867 0.0788 A 
0 5250 -1.5 2 0.3165 0.2457 0.3446 0.2094 0.1032 A 
0.5 5250 -1.5 2 0.3103 0.2476 0.3391 0.2103 0.1044 A 
1 5250 -1.5 2 0.2992 0.2548 0.3289 0.2164 0.1055 A 
1.5 5250 -1.5 2 0.2862 0.2653 0.3167 0.2258 0.1046 A 
2 5250 -1.5 2 0.2732 0.2774 0.3038 0.2376 0.1019 A 
2.5 5250 -1.5 2 0.2626 0.29 0.2924 0.2511 0.0954 A 
3 5250 -1.5 2 0.2576 0.2961 0.2863 0.2587 0.0909 A 
3.5 5250 -1.5 2 0.2557 0.3 0.2834 0.2641 0.0873 A 
4 5250 -1.5 2 0.2535 0.3033 0.281 0.2677 0.0874 A 
4.5 5250 -1.5 2 0.2511 0.3077 0.278 0.2728 0.0863 A 
5 5250 -1.5 2 0.2284 0.3272 0.2585 0.2881 0.0973 A 
0 5500 -1.5 2 0.2837 0.2671 0.3146 0.2271 0.1119 A 
0.5 5500 -1.5 2 0.2886 0.2585 0.3188 0.2195 0.1097 A 
1 5500 -1.5 2 0.2831 0.2607 0.3135 0.2213 0.1089 A 
1.5 5500 -1.5 2 0.2746 0.2668 0.3053 0.2269 0.1066 A 
2 5500 -1.5 2 0.2634 0.2761 0.2943 0.2359 0.1038 A 
2.5 5500 -1.5 2 0.255 0.2836 0.2853 0.2443 0.0987 A 
3 5500 -1.5 2 0.2464 0.2932 0.2759 0.2548 0.093 A 
3.5 5500 -1.5 2 0.2394 0.2997 0.2684 0.2619 0.0908 A 
4 5500 -1.5 2 0.2345 0.3035 0.2637 0.2656 0.092 A 
4.5 5500 -1.5 2 0.2241 0.3121 0.2544 0.2727 0.0975 A 
5 5500 -1.5 2 0.2206 0.3154 0.2501 0.2771 0.0968 A 
0 5750 -1.5 2 0.3515 0.2018 0.3754 0.1712 0.0956 A 
0.5 5750 -1.5 2 0.2742 0.2627 0.3052 0.2227 0.1142 A 
1 5750 -1.5 2 0.2622 0.2728 0.2939 0.2318 0.1122 A 
1.5 5750 -1.5 2 0.2606 0.2725 0.2919 0.2319 0.1084 A 
2 5750 -1.5 2 0.2538 0.2775 0.2851 0.2369 0.105 A 
2.5 5750 -1.5 2 0.2477 0.2824 0.2784 0.2425 0.1 A 
3 5750 -1.5 2 0.2439 0.2858 0.2729 0.2481 0.0926 A 
3.5 5750 -1.5 2 0.2335 0.2956 0.2624 0.258 0.09 A 
4 5750 -1.5 2 0.2287 0.2988 0.2575 0.2614 0.0897 A 
4.5 5750 -1.5 2 0.219 0.3053 0.2489 0.2664 0.0946 A 
5 5750 -1.5 2 0.2044 0.3158 0.2361 0.2746 0.1025 A 
0 6000 -1.5 2 0.364 0.1947 0.383 0.1704 0.0796 A 
0.5 6000 -1.5 2 0.34 0.2035 0.3629 0.1742 0.0928 A 
1 6000 -1.5 2 0.2546 0.2718 0.2863 0.2307 0.1146 A 
1.5 6000 -1.5 2 0.2399 0.2845 0.2725 0.2423 0.1124 A 
2 6000 -1.5 2 0.2401 0.2832 0.2719 0.2419 0.1072 A 
2.5 6000 -1.5 2 0.2359 0.287 0.2671 0.2463 0.1014 A 
3 6000 -1.5 2 0.2344 0.2887 0.2639 0.2502 0.093 A 
3.5 6000 -1.5 2 0.2336 0.2874 0.2617 0.251 0.0883 A 
4 6000 -1.5 2 0.2256 0.2944 0.2537 0.2579 0.087 A 
4.5 6000 -1.5 2 0.2178 0.2991 0.2466 0.2617 0.0898 A 
5 6000 -1.5 2 0.2047 0.3075 0.2352 0.2677 0.0975 A 
0.5 6250 -1.5 2 0.349 0.1995 0.3679 0.1754 0.0781 A 
1 6250 -1.5 2 0.3176 0.2138 0.342 0.1826 0.0956 A 
1.5 6250 -1.5 2 0.2448 0.2644 0.2767 0.2232 0.1174 A 
2 6250 -1.5 2 0.2239 0.2918 0.2561 0.2499 0.1082 A 
2.5 6250 -1.5 2 0.2268 0.2882 0.2577 0.2479 0.1016 A 
3 6250 -1.5 2 0.2265 0.2878 0.2562 0.2492 0.0949 A 
3.5 6250 -1.5 2 0.2254 0.2895 0.2535 0.253 0.087 A 
4 6250 -1.5 2 0.2218 0.2911 0.2496 0.2548 0.0856 A 
4.5 6250 -1.5 2 0.2195 0.2918 0.2467 0.2563 0.0842 A 
5 6250 -1.5 2 0.2073 0.2997 0.2362 0.2622 0.0905 A 
0.5 6500 -1.5 2 0.3445 0.2069 0.3615 0.1853 0.072 A 
1 6500 -1.5 2 0.3308 0.2077 0.3496 0.1838 0.0766 A 
1.5 6500 -1.5 2 0.3027 0.218 0.3269 0.1868 0.0947 A 
2 6500 -1.5 2 0.2288 0.2739 0.2631 0.2294 0.1216 A 
2.5 6500 -1.5 2 0.2078 0.2986 0.2398 0.2569 0.1051 A 
3 6500 -1.5 2 0.2122 0.2953 0.2424 0.2559 0.0957 A 
